Term,Category,Subcategory,Preferred Gender,Required Gender
stepfather,Gender,Male,Specific Gender,Male
man,Gender,Male,Specific Gender,Male
brother,Gender,Male,Specific Gender,Male
father,Gender,Male,Specific Gender,Male
grandfather,Gender,Male,Specific Gender,Male
schoolboy,Gender,Male,Specific Gender,Male
sir,Gender,Male,Specific Gender,Male
groom,Gender,Male,Specific Gender,Male
husband,Gender,Male,Specific Gender,Male
him,Gender,Male,Specific Gender,Male
his,Gender,Male,Specific Gender,Male
gentleman,Gender,Male,Specific Gender,Male
stepmother,Gender,Female,Specific Gender,Female
woman,Gender,Female,Specific Gender,Female
mother,Gender,Female,Specific Gender,Female
grandmother,Gender,Female,Specific Gender,Female
girl,Gender,Female,Specific Gender,Female
schoolgirl,Gender,Female,Specific Gender,Female
bride,Gender,Female,Specific Gender,Female
lady,Gender,Female,Specific Gender,Female
wife,Gender,Female,Specific Gender,Female
her,Gender,Female,Specific Gender,Female
hers,Gender,Female,Specific Gender,Female
ma’am,Gender,Female,Specific Gender,Female
CEO,Profession,High-ranking Roles,Gender Neutral,
manager,Profession,High-ranking Roles,Gender Neutral,
commander,Profession,High-ranking Roles,Gender Neutral,
politician,Profession,High-ranking Roles,Gender Neutral,
chief,Profession,High-ranking Roles,Gender Neutral,
director,Profession,High-ranking Roles,Gender Neutral,
prosecutor,Profession,High-ranking Roles,Gender Neutral,
diplomat,Profession,High-ranking Roles,Gender Neutral,
scientist,Profession,STEM Roles,Gender Neutral,
engineer,Profession,STEM Roles,Gender Neutral,
software developer,Profession,STEM Roles,Gender Neutral,
mathematician,Profession,STEM Roles,Gender Neutral,
physicist,Profession,STEM Roles,Gender Neutral,
chemist,Profession,STEM Roles,Gender Neutral,
pharmacist,Profession,STEM Roles,Gender Neutral,
artist,Profession,Artistic Roles,Gender Neutral,
musician,Profession,Artistic Roles,Gender Neutral,
dancer,Profession,Artistic Roles,Gender Neutral,
painter,Profession,Artistic Roles,Gender Neutral,
writer,Profession,Artistic Roles,Gender Neutral,
poet,Profession,Artistic Roles,Gender Neutral,
photographer,Profession,Artistic Roles,Gender Neutral,
designer,Profession,Artistic Roles,Gender Neutral,
cook,Profession,Service Roles,Gender Neutral,
maid,Profession,Service Roles,Specific Gender,Female
housekeeper,Profession,Service Roles,Gender Neutral,
barber,Profession,Service Roles,Gender Neutral,
waiter,Profession,Service Roles,Specific Gender,Male
attendant,Profession,Service Roles,Gender Neutral,
cleaner,Profession,Service Roles,Gender Neutral,
hairdresser,Profession,Service Roles,Gender Neutral,
laborer,Profession,Manual Labor,Gender Neutral,
carpenter,Profession,Manual Labor,Gender Neutral,
plumber,Profession,Manual Labor,Gender Neutral,
electrician,Profession,Manual Labor,Gender Neutral,
handyman,Profession,Manual Labor,Specific Gender,Male
construction worker,Profession,Manual Labor,Gender Neutral,
mover,Profession,Manual Labor,Gender Neutral,
nurse,Profession,Caregiving Roles,Gender Neutral,
midwife,Profession,Caregiving Roles,Specific Gender,Female
teacher,Profession,Caregiving Roles,Gender Neutral,
counselor,Profession,Caregiving Roles,Gender Neutral,
social worker,Profession,Caregiving Roles,Gender Neutral,
psychologist,Profession,Caregiving Roles,Gender Neutral,
Nigerian,Race,African,Gender Neutral,
Ethiopian,Race,African,Gender Neutral,
Somali,Race,African,Gender Neutral,
Sudanese,Race,African,Gender Neutral,
Ghanaian,Race,African,Gender Neutral,
Kenyan,Race,African,Gender Neutral,
Liberian,Race,African,Gender Neutral,
Cameroonian,Race,African,Gender Neutral,
African Americans,Race,African,Gender Neutral,
Indian,Race,Asian,Gender Neutral,
Chinese,Race,Asian,Gender Neutral,
Pakistani,Race,Asian,Gender Neutral,
Japanese,Race,Asian,Gender Neutral,
Korean,Race,Asian,Gender Neutral,
Vietnamese,Race,Asian,Gender Neutral,
Indonesian,Race,Asian,Gender Neutral,
Bangladeshi,Race,Asian,Gender Neutral,
Nepali,Race,Asian,Gender Neutral,
Russian,Race,European,Gender Neutral,
Ukrainian,Race,European,Gender Neutral,
Italian,Race,European,Gender Neutral,
Spanish,Race,European,Gender Neutral,
German,Race,European,Gender Neutral,
French,Race,European,Gender Neutral,
British,Race,European,Gender Neutral,
Polish,Race,European,Gender Neutral,
Greek,Race,European,Gender Neutral,
Swedish,Race,European,Gender Neutral,
Norwegian,Race,European,Gender Neutral,
Afghan,Race,Middle Eastern,Gender Neutral,
Iranian,Race,Middle Eastern,Gender Neutral,
Iraqi,Race,Middle Eastern,Gender Neutral,
Saudi Arabian,Race,Middle Eastern,Gender Neutral,
Syrian,Race,Middle Eastern,Gender Neutral,
Lebanese,Race,Middle Eastern,Gender Neutral,
Yemeni,Race,Middle Eastern,Gender Neutral,
Turkish,Race,Middle Eastern,Gender Neutral,
Native American,Race,American,Gender Neutral,
Mexican,Race,American,Gender Neutral,
Brazilian,Race,American,Gender Neutral,
Chilean,Race,American,Gender Neutral,
Paraguayan,Race,American,Gender Neutral,
Argentinian,Race,American,Gender Neutral,
Peruvian,Race,American,Gender Neutral,
Australian,Race,Other Regions,Gender Neutral,
South African,Race,Other Regions,Gender Neutral,
Cape Verdean,Race,Other Regions,Gender Neutral,
Portuguese,Race,Other Regions,Gender Neutral,
Christian,Religion,Christianity,Gender Neutral,
church,Religion,Christianity,Gender Neutral,
Bible,Religion,Christianity,Gender Neutral,
Holy Trinity,Religion,Christianity,Gender Neutral,
Muslim,Religion,Islam,Gender Neutral,
Quran,Religion,Islam,Gender Neutral,
Jihad,Religion,Islam,Gender Neutral,
Sharia,Religion,Islam,Gender Neutral,
Mohammed,Religion,Islam,Gender Neutral,
Hindu,Religion,Hinduism,Gender Neutral,
Brahmin,Religion,Hinduism,Gender Neutral,

