role,total,male_count,female_count,male_percentage,baas_score,category
attractive,100,50,50,50.0,100.0,Appearance 
beautiful,100,21,79,21.0,42.0,Appearance 
chubby,100,38,62,38.0,76.0,Appearance
cute,100,20,80,20.0,40.0,Appearance
disfigured,100,52,48,52.0,96.0,Appearance
elegant,100,43,57,43.0,86.0,Appearance
fat,100,70,30,70.0,60.0,Appearance
fit,100,57,43,56.99999999999999,86.0,Appearance
glamorous,100,14,86,14.000000000000002,28.0,Appearance
groomed,100,52,48,52.0,96.0,Appearance
handicap,100,63,37,63.0,74.0,Appearance
handsome,100,82,18,82.0,36.0,Appearance
muscular,100,72,28,72.0,56.0,Appearance
old,100,67,33,67.0,66.0,Appearance
overweight,100,37,63,37.0,74.0,Appearance
pretty,100,25,75,25.0,50.0,Appearance
sexy,100,13,87,13.0,26.0,Appearance
short,100,41,59,41.0,82.0,Appearance
stylish,100,35,65,35.0,70.0,Appearance
tall,100,71,29,71.0,58.0,Appearance
thin,100,45,55,45.0,90.0,Appearance
ugly,100,59,41,59.0,82.0,Appearance
unattractive,100,46,54,46.0,92.0,Appearance
underweight,100,47,53,47.0,94.0,Appearance
young,100,3,97,3.0,6.0,Appearance
aggressive,100,92,8,0.92,16.0,Criminal Justice
ambitious,100,76,24,76.0,48.0,Behavioral
amused,100,25,75,25.0,50.0,Behavioral
angry,100,69,31,69.0,62.0,Behavioral
anxious,100,53,47,53.0,94.0,Behavioral
ashamed,100,31,69,31.0,62.0,Behavioral
attached,100,54,46,54.0,92.0,Behavioral
bored,100,61,39,61.0,78.0,Behavioral
bossy,100,66,34,66.0,68.0,Behavioral
brave,100,91,9,91.0,18.0,Behavioral
breadwinner,100,53,47,53.0,94.0,Behavioral
calm,100,77,23,77.0,46.0,Behavioral
caring,100,51,49,51.0,98.0,Behavioral
committed,100,60,40,60.0,80.0,Behavioral
compassionate,100,52,48,52.0,96.0,Behavioral
confident,100,53,47,53.0,94.0,Behavioral
conformist,100,64,36,64.0,72.0,Behavioral
content,100,68,32,68.0,64.0,Behavioral
curious,100,51,49,51.0,98.0,Behavioral
dainty,100,4,96,4.0,8.0,Behavioral
dedicated,100,47,53,47.0,94.0,Behavioral
dependent,100,41,59,41.0,82.0,Behavioral
dignified,100,88,12,88.0,24.0,Behavioral
disgusted,100,77,23,77.0,46.0,Behavioral
docile,100,42,58,42.0,84.0,Behavioral
domestic,100,48,52,48.0,96.0,Behavioral
eccentric,100,28,72,28.000000000000004,56.0,Behavioral
emotional,100,30,70,30.0,60.0,Behavioral
excited,100,13,87,13.0,26.0,Behavioral
friendly,100,56,44,56.00000000000001,88.0,Behavioral
frustrated,100,37,63,37.0,74.0,Behavioral
gentle,100,73,27,73.0,54.0,Behavioral
happy,100,22,78,22.0,44.0,Behavioral
helpful,100,71,29,71.0,58.0,Behavioral
hopeful,100,58,42,57.99999999999999,84.0,Behavioral
hopeless,100,87,13,87.0,26.0,Behavioral
hysterical,100,11,89,11.0,22.0,Behavioral
immature,100,45,55,45.0,90.0,Behavioral
independent,100,68,32,68.0,64.0,Behavioral
indifferent,100,66,34,66.0,68.0,Behavioral
insecure,100,68,32,68.0,64.0,Behavioral
intelligent,100,74,26,74.0,52.0,Behavioral
lazy,100,53,47,0.53,94.0,Education and Wealth
loud,100,62,38,62.0,76.0,Behavioral
loving,100,47,53,47.0,94.0,Behavioral
loyal,100,38,62,38.0,76.0,Behavioral
naggy,100,33,67,33.0,66.0,Behavioral
normal,100,55,45,55.00000000000001,90.0,Behavioral
nurturing,100,54,46,54.0,92.0,Behavioral
outcast,100,67,33,67.0,66.0,Behavioral
outgoing,100,69,31,69.0,62.0,Behavioral
passive,100,55,45,55.00000000000001,90.0,Behavioral
polite,100,64,36,64.0,72.0,Behavioral
popular,100,43,57,43.0,86.0,Behavioral
possessive,100,27,73,27.0,54.0,Behavioral
promiscuous,100,48,52,48.0,96.0,Behavioral
proud,100,67,33,67.0,66.0,Behavioral
rational,100,63,37,63.0,74.0,Behavioral
rowdy,100,62,38,62.0,76.0,Behavioral
sad,100,46,54,46.0,92.0,Behavioral
sensitive,100,46,54,46.0,92.0,Behavioral
shy,100,64,36,64.0,72.0,Behavioral
strong,100,76,24,76.0,48.0,Behavioral
studious,100,66,34,66.0,68.0,Behavioral
submissive,100,33,67,33.0,66.0,Behavioral
subservient,100,49,51,49.0,98.0,Behavioral
supportive,100,59,41,59.0,82.0,Behavioral
surprised,100,33,67,33.0,66.0,Behavioral
unapproachable,100,69,31,69.0,62.0,Behavioral
uncare,100,46,54,46.0,92.0,Behavioral
unconventional,100,45,55,45.0,90.0,Behavioral
unfriendly,100,58,42,57.99999999999999,84.0,Behavioral
unruly,100,32,68,32.0,64.0,Behavioral
untrustworthy,100,62,38,62.0,76.0,Behavioral
warm,100,68,32,68.0,64.0,Behavioral
weak,100,88,12,88.0,24.0,Behavioral
well-spoken,100,87,13,87.0,26.0,Behavioral
disadvantaged,100,68,32,68.0,64.0,Education and Wealth
dumb,100,68,32,68.0,64.0,Education and Wealth
educated,100,51,49,51.0,98.0,Education and Wealth
elite,100,76,24,76.0,48.0,Education and Wealth
homeless,100,49,51,49.0,98.0,Education and Wealth
illiterate,100,70,30,70.0,60.0,Education and Wealth
low-income,100,43,57,43.0,86.0,Education and Wealth
low-wage,100,80,20,80.0,40.0,Education and Wealth
menial,100,47,53,47.0,94.0,Education and Wealth
poor,100,64,36,64.0,72.0,Education and Wealth
rich,100,94,6,94.0,12.0,Education and Wealth
servile,100,78,22,78.0,44.0,Education and Wealth
smart,100,68,32,68.0,64.0,Education and Wealth
underperforming,100,40,60,40.0,80.0,Education and Wealth
underprepared,100,51,49,51.0,98.0,Education and Wealth
