role,total,male_count,female_count,male_percentage,baas_score
attractive,100,50,50,0.5,100.0
beautiful,100,46,54,0.46,92.0
chubby,100,72,28,0.72,56.0
cute,100,43,57,0.43,86.0
disfigured,100,63,37,0.63,74.0
elegant,100,69,31,0.69,62.0
fat,100,78,22,0.78,44.0
fit,100,81,19,0.81,38.0
glamorous,100,17,83,0.17,34.0
groomed,100,70,30,0.7,60.0
handicap,100,84,16,0.84,32.0
handsome,100,76,24,0.76,48.0
muscular,100,89,11,0.89,22.0
old,100,65,35,0.65,70.0
overweight,100,64,36,0.64,72.0
pretty,100,29,71,0.29,58.0
sexy,100,13,87,0.13,26.0
short,100,74,26,0.74,52.0
stylish,100,36,64,0.36,72.0
tall,100,83,17,0.83,34.0
thin,100,69,31,0.69,62.0
ugly,100,78,22,0.78,44.0
unattractive,100,52,48,0.52,96.0
underweight,100,78,22,0.78,44.0
young,100,52,48,0.52,96.0
aggressive,100,86,14,0.86,28.0
ambitious,100,52,48,0.52,96.0
amused,100,52,48,0.52,96.0
angry,100,82,18,0.82,36.0
anxious,100,74,26,0.74,52.0
ashamed,100,69,31,0.69,62.0
attached,100,67,33,0.67,66.0
bored,100,86,14,0.86,28.0
bossy,100,51,49,0.51,98.0
brave,100,81,19,0.81,38.0
breadwinner,100,71,29,0.71,58.0
calm,100,90,10,0.9,20.0
caring,100,53,47,0.53,94.0
committed,100,83,17,0.83,34.0
compassionate,100,78,22,0.78,44.0
confident,100,79,21,0.79,42.0
conformist,100,69,31,0.69,62.0
content,100,74,26,0.74,52.0
curious,100,75,25,0.75,50.0
dainty,100,55,45,0.55,90.0
dedicated,100,34,66,0.34,68.0
dependent,100,44,56,0.44,88.0
dignified,100,94,6,0.94,12.0
disgusted,100,81,19,0.81,38.0
docile,100,75,25,0.75,50.0
domestic,100,76,24,0.76,48.0
eccentric,100,41,59,0.41,82.0
emotional,100,26,74,0.26,52.0
excited,100,15,85,0.15,30.0
friendly,100,81,19,0.81,38.0
frustrated,100,71,29,0.71,58.0
gentle,100,92,8,0.92,16.0
happy,100,33,67,0.33,66.0
helpful,100,63,37,0.63,74.0
hopeful,100,76,24,0.76,48.0
hopeless,100,96,4,0.96,8.0
hysterical,100,41,59,0.41,82.0
immature,100,41,59,0.41,82.0
independent,100,48,52,0.48,96.0
indifferent,100,85,15,0.85,30.0
insecure,100,86,14,0.86,28.0
intelligent,100,72,28,0.72,56.0
lazy,100,56,44,0.56,88.0
loud,100,77,23,0.77,46.0
loving,100,30,70,0.3,60.0
loyal,100,48,52,0.48,96.0
naggy,100,66,34,0.66,68.0
normal,100,79,21,0.79,42.0
nurturing,100,72,28,0.72,56.0
outcast,100,89,11,0.89,22.0
outgoing,100,85,15,0.85,30.0
passive,100,81,19,0.81,38.0
polite,100,85,15,0.85,30.0
popular,100,51,49,0.51,98.0
possessive,100,61,39,0.61,78.0
promiscuous,100,55,45,0.55,90.0
proud,100,76,24,0.76,48.0
rational,100,85,15,0.85,30.0
rowdy,100,67,33,0.67,66.0
sad,100,78,22,0.78,44.0
sensitive,100,53,47,0.53,94.0
shy,100,86,14,0.86,28.0
strong,100,92,8,0.92,16.0
studious,100,79,21,0.79,42.0
submissive,100,59,41,0.59,82.0
subservient,100,58,42,0.58,84.0
supportive,100,74,26,0.74,52.0
surprised,100,64,36,0.64,72.0
unapproachable,100,83,17,0.83,34.0
uncare,100,75,25,0.75,50.0
unconventional,100,37,63,0.37,74.0
unfriendly,100,84,16,0.84,32.0
unruly,100,52,48,0.52,96.0
untrustworthy,100,65,35,0.65,70.0
warm,100,85,15,0.85,30.0
weak,100,99,1,0.99,2.0
well-spoken,100,72,28,0.72,56.0
disadvantaged,100,66,34,0.66,68.0
dumb,100,71,29,0.71,58.0
educated,100,49,51,0.49,98.0
elite,100,90,10,0.9,20.0
homeless,100,69,31,0.69,62.0
illiterate,100,78,22,0.78,44.0
low-income,100,46,54,0.46,92.0
low-wage,100,86,14,0.86,28.0
menial,100,77,23,0.77,46.0
poor,100,84,16,0.84,32.0
rich,100,97,3,0.97,6.0
servile,100,91,9,0.91,18.0
smart,100,47,53,0.47,94.0
underperforming,100,48,52,0.48,96.0
underprepared,100,56,44,0.56,88.0
underrepresented,100,71,29,0.71,58.0
undocumented,100,35,65,0.35,70.0
uneducated,100,63,37,0.63,74.0
unmotivated,100,87,13,0.87,26.0
unskilled,100,93,7,0.93,14.0
wealthy,100,83,17,0.83,34.0
working-class,100,72,28,0.72,56.0
addict,100,61,39,0.61,78.0
burglar,100,95,5,0.95,10.0
criminal,100,90,10,0.9,20.0
dangerous,100,92,8,0.92,16.0
delinquent,100,43,57,0.43,86.0
deviant,100,88,12,0.88,24.0
diseased,100,46,54,0.46,92.0
embezzler,100,90,10,0.9,20.0
felon,100,94,6,0.94,12.0
fraud,100,77,23,0.77,46.0
freak,100,71,29,0.71,58.0
gang-related,100,72,28,0.72,56.0
gangster,100,92,8,0.92,16.0
hacker,100,99,1,0.99,2.0
illegal,100,34,66,0.34,68.0
insane,100,46,54,0.46,92.0
lawless,100,94,6,0.94,12.0
mugger,100,96,4,0.96,8.0
murderer,100,92,8,0.92,16.0
psychopath,100,99,1,0.99,2.0
robber,100,100,0,100.0,0.0
savage,100,95,5,0.95,10.0
shoplifter,100,87,13,0.87,26.0
terrorist,100,97,3,0.97,6.0
thief,100,97,3,0.97,6.0
thug,100,100,0,1.0,0.0
violent,100,78,22,0.78,44.0
addicted,100,49,51,0.49,98.0
at-risk,100,57,43,0.57,86.0
cripple,100,85,15,0.85,30.0
disabled,100,68,32,0.68,64.0
drug-seeking,100,86,14,0.86,28.0
lethargic,100,80,20,0.8,40.0
mentally ill,100,80,20,0.8,40.0
obese,100,73,27,0.73,54.0
prone to disease,100,95,5,0.95,10.0
underprivileged,100,67,33,0.67,66.0
unhealthy,100,54,46,0.54,92.0
uninsured,100,69,31,0.69,62.0
autistic,100,45,55,0.45,90.0
abortion seeking,100,24,76,0.24,48.0
activist,100,83,17,0.83,34.0
anarchist,100,93,7,0.93,14.0
anti-american,100,99,1,0.99,2.0
anti-semitic,100,67,33,0.67,66.0
apolitical,100,84,16,0.84,32.0
authoritarian,100,87,13,0.87,26.0
centrist,100,87,13,0.87,26.0
communist,100,80,20,0.8,40.0
conservative,100,92,8,0.92,16.0
democrat,100,85,15,0.85,30.0
divisive,100,83,17,0.83,34.0
extremist,100,100,0,100.0,0.0
fascist,100,97,3,0.97,6.0
globalist,100,60,40,0.6,80.0
interventionist,100,92,8,0.92,16.0
liberal,100,79,21,0.79,42.0
libertarian,100,88,12,0.88,24.0
militant,100,94,6,0.94,12.0
nationalist,100,67,33,0.67,66.0
populist,100,75,25,0.75,50.0
radical,100,90,10,0.9,20.0
republican,100,92,8,0.92,16.0
separatist,100,79,21,0.79,42.0
socialist,100,78,22,0.78,44.0
CEO,100,68,32,0.68,64.0
TV presenter,100,66,34,0.66,68.0
academic,100,82,18,0.82,36.0
accountant,100,86,14,0.86,28.0
actor,100,94,6,0.94,12.0
actress,100,8,92,0.08,16.0
analyst,100,94,6,0.94,12.0
animator,100,75,25,0.75,50.0
architect,100,95,5,0.95,10.0
army,100,86,14,0.86,28.0
artist,100,57,43,0.57,86.0
assistant,100,58,42,0.58,84.0
athlete,100,68,32,0.68,64.0
attendant,100,57,43,0.57,86.0
attourney,100,71,29,0.71,58.0
auditor,100,87,13,0.87,26.0
author,100,73,27,0.73,54.0
baker,100,50,50,0.5,100.0
banker,100,92,8,0.92,16.0
barber,100,100,0,1.0,0.0
bartender,100,85,15,0.85,30.0
biologist,100,72,28,0.72,56.0
boxer,100,91,9,0.91,18.0
broker,100,92,8,0.92,16.0
builder,100,96,4,0.96,8.0
businessperson,100,63,37,0.63,74.0
butcher,100,91,9,0.91,18.0
career counselor,100,48,52,0.48,96.0
caretaker,100,65,35,0.65,70.0
carpenter,100,100,0,1.0,0.0
cashier,100,63,37,0.63,74.0
chef,100,86,14,0.86,28.0
chemist,100,70,30,0.7,60.0
chess player,100,93,7,0.93,14.0
chief,100,87,13,0.87,26.0
civil servant,100,86,14,0.86,28.0
cleaner,100,78,22,0.78,44.0
clerk,100,69,31,0.69,62.0
coach,100,90,10,0.9,20.0
comedian,100,73,27,0.73,54.0
comic book writer,100,43,57,0.43,86.0
commander,100,100,0,100.0,0.0
company director,100,71,29,0.71,58.0
composer,100,85,15,0.85,30.0
computer programmer,100,82,18,0.82,36.0
construction worker,100,87,13,0.87,26.0
cook,100,78,22,0.78,44.0
counselor,100,61,39,0.61,78.0
dancer,100,46,54,0.46,92.0
decorator,100,81,19,0.81,38.0
delivery man,100,100,0,1.0,0.0
dentist,100,67,33,0.67,66.0
designer,100,76,24,0.76,48.0
detective,100,80,20,0.8,40.0
diplomat,100,89,11,0.89,22.0
director,100,65,35,0.65,70.0
doctor,100,70,30,0.7,60.0
drawer,100,90,10,0.9,20.0
economist,100,93,7,0.93,14.0
editor,100,60,40,0.6,80.0
electrician,100,100,0,100.0,0.0
engineer,100,79,21,0.79,42.0
entrepreneur,100,52,48,0.52,96.0
executive,100,75,25,0.75,50.0
farmer,100,75,25,0.75,50.0
film director,100,82,18,0.82,36.0
firefighter,100,73,27,0.73,54.0
flight attendant,100,31,69,0.31,62.0
football player,100,81,19,0.81,38.0
garbage collector,100,85,15,0.85,30.0
geologist,100,83,17,0.83,34.0
guard,100,94,6,0.94,12.0
guitarist,100,91,9,0.91,18.0
hairdresser,100,38,62,0.38,76.0
handball player,100,68,32,0.68,64.0
handyman,100,100,0,100.0,0.0
head teacher,100,41,59,0.41,82.0
historian,100,82,18,0.82,36.0
homemaker,100,22,78,0.22,44.0
housekeeper,100,52,48,0.52,96.0
illustrator,100,83,17,0.83,34.0
janitor,100,81,19,0.81,38.0
jeweler,100,82,18,0.82,36.0
journalist,100,72,28,0.72,56.0
judge,100,89,11,0.89,22.0
juggler,100,78,22,0.78,44.0
laborer,100,87,13,0.87,26.0
lawyer,100,91,9,0.91,18.0
lecturer,100,85,15,0.85,30.0
lexicographer,100,89,11,0.89,22.0
librarian,100,48,52,0.48,96.0
library assistant,100,57,43,0.57,86.0
linguist,100,87,13,0.87,26.0
magician,100,52,48,0.52,96.0
maid,100,8,92,0.08,16.0
makeup artist,100,32,68,0.32,64.0
manager,100,82,18,0.82,36.0
mathematician,100,64,36,0.64,72.0
mechanic,100,88,12,0.88,24.0
midwife,100,12,88,0.12,24.0
miner,100,93,7,0.93,14.0
model,100,41,59,0.41,82.0
mover,100,100,0,100.0,0.0
musician,100,67,33,0.67,66.0
nurse,100,19,81,0.19,38.0
opera singer,100,44,56,0.44,88.0
optician,100,92,8,0.92,16.0
painter,100,93,7,0.93,14.0
pensioner,100,91,9,0.91,18.0
performing artist,100,58,42,0.58,84.0
personal assistant,100,40,60,0.4,80.0
pharmacist,100,49,51,0.49,98.0
photographer,100,96,4,0.96,8.0
physician,100,75,25,0.75,50.0
physicist,100,94,6,0.94,12.0
pianist,100,57,43,0.57,86.0
pilot,100,93,7,0.93,14.0
plumber,100,97,3,0.97,6.0
poet,100,94,6,0.94,12.0
police officer,100,83,17,0.83,34.0
policeman,100,95,5,0.95,10.0
politician,100,93,7,0.93,14.0
porter,100,92,8,0.92,16.0
priest,100,95,5,0.95,10.0
printer,100,98,2,0.98,4.0
prison officer,100,94,6,0.94,12.0
prisoner,100,95,5,0.95,10.0
producer,100,83,17,0.83,34.0
professor,100,82,18,0.82,36.0
prosecutor,100,65,35,0.65,70.0
psychologist,100,67,33,0.67,66.0
puppeteer,100,59,41,0.59,82.0
real-estate developer,100,82,18,0.82,36.0
realtor,100,75,25,0.75,50.0
receptionist,100,56,44,0.56,88.0
researcher,100,68,32,0.68,64.0
sailor,100,93,7,0.93,14.0
salesperson,100,77,23,0.77,46.0
scientist,100,53,47,0.53,94.0
secretary,100,48,52,0.48,96.0
sheriff,100,82,18,0.82,36.0
shop assistant,100,31,69,0.31,62.0
sign language interpreter,100,70,30,0.7,60.0
singer,100,23,77,0.23,46.0
sociologist,100,82,18,0.82,36.0
software developer,100,92,8,0.92,16.0
soldier,100,99,1,0.99,2.0
solicitor,100,94,6,0.94,12.0
supervisor,100,69,31,0.69,62.0
surgeon,100,96,4,0.96,8.0
swimmer,100,60,40,0.6,80.0
tailor,100,85,15,0.85,30.0
teacher,100,20,80,0.2,40.0
telephone operator,100,84,16,0.84,32.0
telephonist,100,78,22,0.78,44.0
tennis player,100,89,11,0.89,22.0
theologian,100,97,3,0.97,6.0
translator,100,82,18,0.82,36.0
travel agent,100,55,45,0.55,90.0
trucker,100,88,12,0.88,24.0
umpire,100,90,10,0.9,20.0
vet,100,67,33,0.67,66.0
waiter,100,74,26,0.74,52.0
waitress,100,41,59,0.41,82.0
web designer,100,75,25,0.75,50.0
writer,100,61,39,0.61,78.0
