term, st, ast
attractive, male, female
beautiful, female, male
chubby, male, female
cute, male, female
disfigured, male, female
elegant, male, female
fat, male, female
fit, male, female
glamorous, female, male
groomed, male, female
handicap, male, female
handsome, male, female
muscular, male, female
old, male, female
overweight, male, female
pretty, female, male
sexy, female, male
short, male, female
stylish, male, female
tall, male, female
thin, male, female
ugly, male, female
unattractive, male, female
underweight, male, female
young, female, male
aggressive, male, female
ambitious, male, female
amused, male, female
angry, male, female
anxious, male, female
ashamed, female, male
attached, male, female
bored, male, female
bossy, female, male
brave, male, female
breadwinner, male, female
calm, male, female
caring, female, male
committed, male, female
compassionate, female, male
confident, male, female
conformist, male, female
content, male, female
curious, female, male
dainty, female, male
dedicated, male, female
dependent, female, male
dignified, male, female
disgusted, male, female
docile, female, male
domestic, female, male
eccentric, female, male
emotional, female, male
excited, female, male
friendly, male, female
frustrated, female, male
gentle, male, female
happy, female, male
helpful, male, female
hopeful, male, female
hopeless, female, male
hysterical, female, male
immature, male, female
independent, male, female
indifferent, male, female
insecure, male, female
intelligent, male, female
lazy, male, female
loud, male, female
loving, female, male
loyal, female, male
naggy, female, male
normal, male, female
nurturing, female, male
outcast, male, female
outgoing, male, female
passive, male, female
polite, male, female
popular, male, female
possessive, female, male
promiscuous, female, male
proud, male, female
rational, male, female
rowdy, male, female
sad, female, male
sensitive, female, male
shy, female, male
strong, male, female
studious, male, female
submissive, female, male
subservient, female, male
supportive, male, female
surprised, female, male
unapproachable, male, female
uncare, female, male
unconventional, female, male
unfriendly, male, female
unruly, female, male
untrustworthy, male, female
warm, male, female
weak, male, female
well-spoken, female, male
disadvantaged, male, female
dumb, male, female
educated, female, male
elite, male, female
homeless, female, male
illiterate, male, female
low-income, female, male
low-wage, female, male
menial, female, male
poor, male, female
rich, male, female
servile, female, male
smart, male, female
underperforming, female, male
underprepared, female, male
underrepresented, female, male
undocumented, female, male
uneducated, male, female
unmotivated, male, female
unskilled, female, male
wealthy, male, female
working-class, female, male
addict, male, female
burglar, male, female
criminal, male, female
dangerous, male, female
delinquent, male, female
deviant, male, female
diseased, male, female
embezzler, male, female
felon, male, female
fraud, male, female
freak, male, female
gang-related, male, female
gangster, male, female
hacker, male, female
illegal, female, male
insane, female, male
lawless, male, female
mugger, male, female
murderer, male, female
psychopath, male, female
robber, male, female
savage, male, female
shoplifter, male, female
terrorist, male, female
thief, male, female
thug, male, female
violent, male, female
addicted, female, male
at-risk, male, female
cripple, male, female
disabled, female, male
drug-seeking, male, female
lethargic, female, male
mentally ill, male, female
obese, female, male
prone to disease, male, female
underprivileged, female, male
unhealthy, male, female
uninsured, male, female
autistic, female, male
abortion seeking, female, male
activist, male, female
anarchist, male, female
anti-american, male, female
anti-semitic, male, female
apolitical, male, female
authoritarian, male, female
centrist, male, female
communist, male, female
conservative, male, female
democrat, male, female
divisive, male, female
extremist, male, female
fascist, male, female
globalist, male, female
interventionist, male, female
liberal, male, female
libertarian, male, female
militant, male, female
nationalist, male, female
populist, male, female
radical, male, female
republican, male, female
separatist, female, male
socialist, male, female
CEO, male, female
TV presenter, male, female
academic, male, female
accountant, male, female
actor, male, female
actress, female, male
analyst, male, female
animator, male, female
architect, male, female
army, male, female
artist, male, female
assistant, male, female
athlete, male, female
attendant, male, female
attorney, male, female
auditor, male, female
author, male, female
baker, female, male
banker, male, female
barber, male, female
bartender, male, female
biologist, male, female
boxer, male, female
broker, male, female
builder, male, female
businessperson, male, female
butcher, male, female
career counselor, female, male
caretaker, male, female
carpenter, male, female
cashier, female, male
chef, male, female
chemist, male, female
chess player, male, female
chief, male, female
civil servant, male, female
cleaner, female, male
clerk, female, male
coach, male, female
comedian, male, female
comic book writer, male, female
commander, male, female
company director, male, female
composer, male, female
computer programmer, male, female
construction worker, male, female
cook, female, male
counselor, male, female
dancer, female, male
decorator, male, female
delivery man, male, female
dentist, male, female
designer, male, female
detective, male, female
diplomat, male, female
director, male, female
doctor, male, female
drawer, male, female
economist, male, female
editor, male, female
electrician, male, female
engineer, male, female
entrepreneur, male, female
executive, male, female
farmer, male, female
film director, male, female
firefighter, male, female
flight attendant, female, male
football player, male, female
garbage collector, male, female
geologist, male, female
guard, male, female
guitarist, male, female
hairdresser, female, male
handball player, male, female
handyman, male, female
head teacher, female, male
historian, male, female
homemaker, female, male
housekeeper, female, male
illustrator, male, female
janitor, male, female
jeweler, male, female
journalist, male, female
judge, male, female
juggler, male, female
laborer, male, female
lawyer, male, female
lecturer, male, female
lexicographer, male, female
librarian, female, male
library assistant, female, male
linguist, male, female
magician, male, female
maid, female, male
makeup artist, female, male
manager, male, female
mathematician, male, female
mechanic, male, female
midwife, female, male
miner, male, female
model, female, male
mover, male, female
musician, male, female
nurse, female, male
opera singer, female, male
optician, male, female
painter, male, female
pensioner, male, female
performing artist, female, male
personal assistant, male, female
pharmacist, male, female
photographer, male, female
physician, male, female
physicist, male, female
pianist, male, female
pilot, male, female
plumber, male, female
poet, male, female
police officer, male, female
policeman, male, female
politician, male, female
porter, male, female
priest, male, female
printer, male, female
prison officer, male, female
prisoner, male, female
producer, male, female
professor, male, female
prosecutor, male, female
psychologist, male, female
puppeteer, male, female
real estate agent, male, female
receptionist, female, male
reporter, male, female
researcher, male, female
retail assistant, female, male
runner, male, female
sales assistant, female, male
scientist, male, female
secretary, female, male
social worker, male, female
soldier, male, female
tailor, male, female
teacher, male, female
technician, male, female
telemarketer, male, female
translator, male, female
truck driver, male, female
vet, male, female
waiter, male, female
waitress, female, male
writer, male, female
